bill_num||congress||title||date_intro||area||enacted||vetoed
hjres116||115||Proposing an amendment to the Constitution of the United States prohibiting Congress and the States from abridging the right of citizens to affordable, quality health care.||2017-07-28||Health||No||No
hjres117||115||Condemning the violence and domestic terrorist attack that took place during events between August 11 and August 12, 2017, in Charlottesville, Virginia, recognizing the first responders who lost their lives while monitoring the events, offering deepest condolences to the families and friends of those individuals who were killed and deepest sympathies and support to those individuals who were injured in the attack, expressing support for the Charlottesville community, rejecting White nationalists, White supremacists, the Ku Klux Klan, neo-Nazis, and other hate groups, and urging the President and the President's Cabinet to use all available resources to address the threats posed by those groups.||2017-09-07||Civil Rights and Liberties, Minority Issues||No||No
hjres118||115||Authorization for Use of Military Force Against al-Qaeda, the Taliban, and the Islamic State of Iraq and Syria||2017-10-12||International Affairs||No||No
hjres119||115||Proposing a balanced budget amendment to the Constitution of the United States.||2017-10-23||Economics and Public Finance||No||No
hjres12||115||Proposing an amendment to the Constitution of the United States prohibiting the United States Government from increasing its debt except for a specific purpose by law adopted by three-fourths of the membership of each House of Congress.||2017-01-03||Economics and Public Finance||No||No
hjres120||115||Proposing an amendment to the Constitution of the United States limiting the pardon power of the President.||2017-10-31||Crime and Law Enforcement||No||No
hjres121||115||Proposing an amendment to the Constitution of the United States relating to parental rights.||2017-11-16||Families||No||No
hjres122||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Payday, Vehicle Title, and Certain High-Cost Installment Loans""."||2017-12-01||Finance and Financial Sector||No||No
hjres123||115||Making further continuing appropriations for fiscal year 2018, and for other purposes.||2017-12-04||Economics and Public Finance||Yes||No
hjres124||115||Making further additional continuing appropriations for fiscal year 2018, and for other purposes.||2017-12-13||Economics and Public Finance||No||No
hjres125||115||Making an extension of continuing appropriations for fiscal year 2018, and for other purposes.||2018-01-16||Economics and Public Finance||No||No
hjres126||115||Proposing an amendment to the Constitution of the United States relating to contributions and expenditures with respect to Federal elections.||2018-01-19||Government Operations and Politics||No||No
hjres127||115||Pay Our Military Continuing Appropriations Resolution, 2018||2018-01-19||Armed Forces and National Security||No||No
hjres128||115||Department of Defense Appropriations Act, 2018||2018-02-05||Armed Forces and National Security||No||No
hjres129||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom""."||2018-02-27||Science, Technology, Communications||No||No
hjres13||115||Proposing an amendment to the Constitution of the United States to limit the number of terms a Representative or Senator may serve.||2017-01-03||Congress||No||No
hjres130||115||Honoring the life of William (Billy) F. Graham, Jr.||2018-02-27||Arts, Culture, Religion||No||No
hjres131||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom""."||2018-03-29||Science, Technology, Communications||No||No
hjres132||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Indirect Auto Lending and Compliance with the Equal Credit Opportunity Act""."||2018-04-10||Finance and Financial Sector||No||No
hjres133||115||Providing for the reappointment of Barbara M. Barrett as a citizen regent of the Board of Regents of the Smithsonian Institution.||2018-04-17||Government Operations and Politics||No||No
hjres134||115||Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.||2018-05-10||Congress||No||No
hjres135||115||Supporting Israel's right to defend its borders, and for other purposes.||2018-06-05||International Affairs||No||No
hjres136||115||Proposing an amendment to the Constitution of the United States waiving the application of the first article of amendment to the political speech of corporations and other business organizations with respect to the disbursement of funds in connection with public elections and granting Congress and the States the power to establish limits on contributions and expenditures in elections for public office.||2018-06-27||Civil Rights and Liberties, Minority Issues||No||No
hjres137||115||Proposing an amendment to the Constitution of the United States authorizing the territories of the United States to cast electoral votes in presidential elections.||2018-07-26||Government Operations and Politics||No||No
hjres138||115||Proposing an amendment to the Constitution of the United States extending the right to vote to citizens sixteen years of age or older.||2018-08-03||Government Operations and Politics||No||No
hjres139||115||"Providing for the designation of a ""Freedom to Choose their Destiny for the Nations of Eastern Europe and Eurasia Week""."||2018-09-12||International Affairs||No||No
hjres14||115||Proposing a balanced budget amendment to the Constitution of the United States.||2017-01-04||Economics and Public Finance||No||No
hjres140||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Treasury, the Department of Labor, and the Department of Health and Human Services relating to ""Short-Term, Limited-Duration Insurance""."||2018-09-13||Health||No||No
hjres141||115||Proposing an amendment to the Constitution of the United States regarding the permissible sources of funding for elections for public office and State ballot measures.||2018-09-26||Government Operations and Politics||No||No
hjres142||115||Directing the President to terminate the use of the United States Armed Forces with respect to the military intervention led by Saudi Arabia in the Republic of Yemen.||2018-11-29||International Affairs||No||No
hjres143||115||Making further continuing appropriations for fiscal year 2019, and for other purposes.||2018-12-03||Economics and Public Finance||Yes||No
hjres144||115||Proposing an amendment to the Constitution of the United States respecting the right to clean air, pure water, and the sustainable preservation of the ecological integrity, and aesthetic, scenic, and historical values of the natural environment.||2018-12-11||Environmental Protection||No||No
hjres145||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Treasury relating to ""Returns by Exempt Organizations and Returns by Certain Non-Exempt Organizations""."||2018-12-13||Taxation||No||No
hjres146||115||Proposing an amendment to the Constitution of the United States to prohibit Members of Congress from receiving compensation for any period during which a Government shutdown is in effect.||2018-12-21||Congress||No||No
hjres15||115||Proposing a balanced budget amendment to the Constitution of the United States.||2017-01-04||Economics and Public Finance||No||No
hjres16||115||"Disapproving a rule submitted by the Department of the Interior known as the ""Stream Protection Rule""."||2017-01-04||Environmental Protection||No||No
hjres17||115||Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.||2017-01-04||Congress||No||No
hjres18||115||Proposing a balanced budget amendment to the Constitution requiring that each agency and department's funding is justified.||2017-01-04||Economics and Public Finance||No||No
hjres19||115||Proposing an amendment to the Constitution of the United States to abolish the electoral college and to provide for the direct election of the President and Vice President of the United States.||2017-01-05||Government Operations and Politics||No||No
hjres2||115||Proposing a balanced budget amendment to the Constitution of the United States.||2017-01-03||Economics and Public Finance||No||No
hjres20||115||Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.||2017-01-05||Congress||No||No
hjres21||115||Proposing an amendment to the Constitution of the United States to limit Congress' power to impose a tax on a failure to purchase goods or services.||2017-01-06||Taxation||No||No
hjres22||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Environmental Protection Agency relating to ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources""."||2017-01-06||Environmental Protection||No||No
hjres23||115||Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve to four in the House of Representatives and two in the Senate.||2017-01-09||Congress||No||No
hjres24||115||Proposing an amendment to the Constitution of the United States to limit the number of years an individual may serve as a Member of Congress.||2017-01-09||Congress||No||No
hjres25||115||Proposing an amendment to the Constitution of the United States to end the practice of including more than one subject in a single law by requiring that each law enacted by Congress be limited to only one subject and that the subject be clearly and descriptively expressed in the title of the law.||2017-01-09||Congress||No||No
hjres26||115||No Congressional Consent for President Donald J. Trump To Accept Foreign Emoluments of Any Kind Whatsoever||2017-01-10||Government Operations and Politics||No||No
hjres27||115||Disapproving the action of the District of Columbia Council in approving the Death with Dignity Act of 2016.||2017-01-12||Government Operations and Politics||No||No
hjres28||115||Proposing an amendment to the Constitution of the United States to protect the voting rights of the citizens of the United States.||2017-01-13||Government Operations and Politics||No||No
hjres29||115||Proposing an amendment to the Constitution of the United States requiring that the Federal budget be balanced.||2017-01-13||Economics and Public Finance||No||No
hjres3||115||Approving the location of a memorial to commemorate and honor the members of the Armed Forces who served on active duty in support of Operation Desert Storm or Operation Desert Shield.||2017-01-03||Armed Forces and National Security||No||No
hjres30||115||Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States.||2017-01-23||Congress||No||No
hjres31||115||Proposing an amendment to the Constitution of the United States relating to contributions and expenditures intended to affect elections.||2017-01-24||Government Operations and Politics||No||No
hjres32||115||Proposing an amendment to the Constitution of the United States to give States the authority to repeal Federal rules and regulations when the repeal is agreed to by the legislatures of two-thirds of the several States.||2017-01-24||Government Operations and Politics||No||No
hjres33||115||Proposing an amendment to the Constitution of the United States relative to equal rights for men and women.||2017-01-24||Civil Rights and Liberties, Minority Issues||No||No
hjres34||115||Disapproving the rule submitted by the Department of the Interior regarding requirements for exploratory drilling on the Arctic Outer Continental Shelf.||2017-01-27||Energy||No||No
hjres35||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska""."||2017-01-27||Public Lands and Natural Resources||No||No
hjres36||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to ""Waste Prevention, Production Subject to Royalties, and Resource Conservation""."||2017-01-30||Energy||No||No
hjres37||115||Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.||2017-01-30||Labor and Employment||Yes||No
hjres38||115||Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.||2017-01-30||Environmental Protection||Yes||No
hjres39||115||"Disapproving a rule submitted by the Department of Health and Human Services relating to ""Compliance with Title X Requirements by Project Recipients in Selecting Subrecipients""."||2017-01-30||Health||No||No
hjres4||115||Proposing an amendment to the Constitution of the United States granting Congress the authority to enact laws limiting the number of terms that Representatives and Senators may serve.||2017-01-03||Congress||No||No
hjres40||115||Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.||2017-01-30||Crime and Law Enforcement||Yes||No
hjres41||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments by Resource Extraction Issuers""."||2017-01-30||Finance and Financial Sector||Yes||No
hjres42||115||Disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants.||2017-01-30||Labor and Employment||Yes||No
hjres43||115||Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.||2017-01-30||Health||Yes||No
hjres44||115||Disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 1976.||2017-01-30||Public Lands and Natural Resources||Yes||No
hjres45||115||Disapproving the rule submitted by the United States Fish and Wildlife Service of the Department of the Interior relating to management of non-Federal oil and gas rights.||2017-01-30||Public Lands and Natural Resources||No||No
hjres46||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the National Park Service relating to ""General Provisions and Non-Federal Oil and Gas Rights""."||2017-01-30||Public Lands and Natural Resources||No||No
hjres47||115||Disapproving the rule submitted by the Department of the Interior regarding requirements for exploratory drilling on the Arctic Outer Continental Shelf.||2017-01-30||Energy||No||No
hjres48||115||Proposing an amendment to the Constitution of the United States providing that the rights extended by the Constitution are the rights of natural persons only.||2017-01-30||Civil Rights and Liberties, Minority Issues||No||No
hjres49||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska""."||2017-01-30||Public Lands and Natural Resources||No||No
hjres5||115||Proposing an amendment to the Constitution of the United States relative to balancing the budget.||2017-01-03||Economics and Public Finance||No||No
hjres50||115||Proposing an amendment to the Constitution of the United States to limit the number of terms a Representative or Senator may serve.||2017-01-31||Congress||No||No
hjres51||115||Approving the discontinuation of the process for consideration and automatic implementation of the annual proposal of the Independent Medicare Advisory Board under section 1899A of the Social Security Act.||2017-01-31||Health||No||No
hjres52||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the United States Fish and Wildlife Service relating to ""Mitigation Policy""."||2017-01-31||Environmental Protection||No||No
hjres53||115||Removing the deadline for the ratification of the equal rights amendment.||2017-01-31||Civil Rights and Liberties, Minority Issues||No||No
hjres54||115||Disapproving the rule submitted by the Department of the Treasury and the Internal Revenue Service relating to documentation requirements for certain related-party interests in a corporation to be treated as indebtedness.||2017-01-31||Taxation||No||No
hjres55||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Office of Natural Resources Revenue relating to ""Amendments to Civil Penalty Regulations""."||2017-01-31||Energy||No||No
hjres56||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to ""Onshore Oil and Gas Operations; Federal and Indian Oil and Gas Leases; Site Security""."||2017-02-01||Energy||No||No
hjres57||115||Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965.||2017-02-01||Education||Yes||No
hjres58||115||Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues.||2017-02-01||Education||Yes||No
hjres59||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Accidental Release Prevention Requirements: Risk Management Programs under the Clean Air Act""."||2017-02-01||Environmental Protection||No||No
hjres6||115||Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.||2017-01-03||Congress||No||No
hjres60||115||Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the United States Fish and Wildlife Service relating to the use of compensatory mitigation as recommended or required under the Endangered Species Act of 1973.||2017-02-02||Environmental Protection||No||No
hjres61||115||Proposing an amendment to the Constitution of the United States giving Congress power to prohibit the physical desecration of the flag of the United States.||2017-02-02||Civil Rights and Liberties, Minority Issues||No||No
hjres62||115||Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to prepaid accounts under the Electronic Fund Transfer Act and the Truth in Lending Act.||2017-02-03||Finance and Financial Sector||No||No
hjres63||115||Authorization for Use of Military Force against the Islamic State of Iraq and the Levant||2017-02-03||International Affairs||No||No
hjres64||115||Proposing an amendment to the Constitution of the United States giving Congress power to regulate campaign contributions for Federal elections.||2017-02-06||Government Operations and Politics||No||No
hjres65||115||Every Vote Counts Amendment||2017-02-07||Government Operations and Politics||No||No
hjres66||115||Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.||2017-02-07||Labor and Employment||Yes||No
hjres67||115||Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by qualified State political subdivisions for non-governmental employees.||2017-02-07||Labor and Employment||Yes||No
hjres68||115||Providing for congressional disapproval under chapter 8 of title 5 of the United States Code of a rule submitted by the Bureau of Land Management relating to standards for measurement and reporting of gas removed or sold from Federal and Indian lands and areas subject to communitization agreements.||2017-02-07||Public Lands and Natural Resources||No||No
hjres69||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska""."||2017-02-07||Public Lands and Natural Resources||Yes||No
hjres7||115||Proposing an amendment to the Constitution of the United States to limit the number of years an individual may serve as a Member of Congress.||2017-01-03||Congress||No||No
hjres70||115||Disapproving the rule submitted by the Department of the Interior regarding requirements for exploratory drilling on the Arctic Outer Continental Shelf.||2017-02-09||Energy||No||No
hjres71||115||Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Office of Natural Resources Revenue of the Department of the Interior relating to consolidated Federal oil and gas and Federal and Indian coal valuation reform.||2017-02-13||Public Lands and Natural Resources||No||No
hjres72||115||Relating to the disapproval of the proposed foreign military sale to the Government of Kenya of Air Tractor aircraft with weapons, and related support.||2017-02-14||International Affairs||No||No
hjres73||115||Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to prepaid accounts under the Electronic Fund Transfer Act and the Truth in Lending Act.||2017-02-14||Finance and Financial Sector||No||No
hjres74||115||Proposing an amendment to the Constitution of the United States regarding the right to vote.||2017-02-15||Civil Rights and Liberties, Minority Issues||No||No
hjres75||115||War Powers Resolution||2017-02-15||International Affairs||No||No
hjres76||115||Granting the consent and approval of Congress for the Commonwealth of Virginia, the State of Maryland, and the District of Columbia to enter into a compact relating to the establishment of the Washington Metrorail Safety Commission.||2017-02-16||Transportation and Public Works||Yes||No
hjres77||115||Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Army Corps of Engineers relating to the Apalachicola-Chattahoochee-Flint River Basin Water Control Master Manual.||2017-02-16||Water Resources Development||No||No
hjres78||115||Providing for the reappointment of Stephen M. Case as a citizen regent of the Board of Regents of the Smithsonian Institution.||2017-02-16||Government Operations and Politics||No||No
hjres79||115||Providing for the appointment of Michael Govan as a citizen regent of the Board of Regents of the Smithsonian Institution.||2017-02-16||Government Operations and Politics||No||No
hjres8||115||Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the Government.||2017-01-03||Economics and Public Finance||No||No
hjres80||115||Providing for the appointment of Roger W. Ferguson as a citizen regent of the Board of Regents of the Smithsonian Institution.||2017-02-16||Government Operations and Politics||No||No
hjres81||115||Proposing an amendment to the Constitution of the United States regarding health care.||2017-02-16||Health||No||No
hjres82||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to ""Onshore Oil and Gas Operations; Federal and Indian Oil and Gas Leases; Measurement of Oil""."||2017-02-16||Public Lands and Natural Resources||No||No
hjres83||115||"Disapproving the rule submitted by the Department of Labor relating to ""Clarification of Employer's Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness""."||2017-02-21||Labor and Employment||Yes||No
hjres84||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Transportation relating to ""Metropolitan Planning Organization Coordination and Planning Area Reform""."||2017-03-01||Transportation and Public Works||No||No
hjres85||115||Proposing an amendment to the Constitution of the United States limiting the number of terms Senators and Representatives may serve.||2017-03-01||Congress||No||No
hjres86||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Protecting the Privacy of Customers of Broadband and Other Telecommunications Services""."||2017-03-08||Science, Technology, Communications||No||No
hjres87||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Approval, Disapproval and Promulgation of Air Quality Implementation Plans; Partial Approval and Partial Disapproval of Air Quality Implementation Plans and Federal Implementation Plan; Utah; Revisions to Regional Haze State Implementation Plan; Federal Implementation Plan for Regional Haze""."||2017-03-10||Environmental Protection||No||No
hjres88||115||Proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate corporations, limited liability companies or other corporate entities established by the laws of any State, the United States, or any foreign state.||2017-03-10||Civil Rights and Liberties, Minority Issues||No||No
hjres89||115||Authorization for Use of Military Force Against al-Qaeda, the Taliban, and the Islamic State of Iraq and Syria||2017-03-15||International Affairs||No||No
hjres9||115||Proposing an amendment to the Constitution of the United States to prohibit Members of Congress from receiving compensation during a fiscal year unless both Houses of Congress have agreed to a concurrent resolution on the budget for that fiscal year prior to the beginning of that fiscal year.||2017-01-03||Congress||No||No
hjres90||115||Proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate the expenditure of funds for political activity by corporations.||2017-03-16||Government Operations and Politics||No||No
hjres91||115||Proposing an amendment to the Constitution of the United States regarding Presidential election voting rights for residents of all United States territories and commonwealths.||2017-03-23||Civil Rights and Liberties, Minority Issues||No||No
hjres92||115||Granting the consent and approval of Congress for the Commonwealth of Virginia, the State of Maryland, and the District of Columbia to amend the Washington Area Transit Regulation Compact.||2017-03-28||Transportation and Public Works||No||No
hjres93||115||Proposing an amendment to the Constitution of the United States to protect the rights of crime victims.||2017-04-03||Crime and Law Enforcement||No||No
hjres94||115||Proposing an amendment to the Constitution of the United States to repeal the sixteenth article of amendment.||2017-04-05||Taxation||No||No
hjres95||115||"Expressing support for designation of September 2017 as ""Gospel Music Heritage Month"" and honoring gospel music for its valuable and longstanding contributions to the culture of the United States."||2017-04-06||Arts, Culture, Religion||No||No
hjres96||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Interior relating to ""Eastern Interior Proposed Resource Management Plan and Final Environmental Impact Statement""."||2017-04-06||Public Lands and Natural Resources||No||No
hjres97||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Agriculture relating to ""Tongass National Forest Land and Resource Management Plan Amendment""."||2017-04-06||Public Lands and Natural Resources||No||No
hjres98||115||Proposing a balanced budget amendment to the Constitution of the United States.||2017-04-08||Economics and Public Finance||No||No
hjres99||115||Making further continuing appropriations for fiscal year 2017, and for other purposes.||2017-04-26||Economics and Public Finance||Yes||No
hr1||115||An Act to provide for reconciliation pursuant to titles II and V of the concurrent resolution on the budget for fiscal year 2018.||2017-11-02||Taxation||Yes||No
hr10||115||Financial CHOICE Act of 2017||2017-04-26||Finance and Financial Sector||No||No
hr100||115||Support Local Transportation Act||2017-01-03||Transportation and Public Works||No||No
hr1000||115||Jobs for All Act||2017-02-09||Labor and Employment||No||No
hr1001||115||Veterans Federal Hiring Protection Act of 2017||2017-02-13||Government Operations and Politics||No||No
hr1002||115||National Heritage Area Act of 2017||2017-02-13||Public Lands and Natural Resources||No||No
hr1003||115||District of Columbia Courts and Public Defender Service Voluntary Separation Incentive Payments Act||2017-02-13||Government Operations and Politics||No||No
hr1004||115||Regulatory Integrity Act of 2017||2017-02-13||Government Operations and Politics||No||No
hr1005||115||To amend title 38, United States Code, to improve the provision of adult day health care services for veterans.||2017-02-13||Armed Forces and National Security||No||No
hr1006||115||To clarify the rights of all persons who are held or detained at a port of entry or at any detention facility overseen by U.S. Customs and Border Protection or U.S. Immigration and Customs Enforcement.||2017-02-13||Immigration||No||No
hr1007||115||Lawrence J. Hackett Jr. Vietnam Veterans Agent Orange Fairness Act||2017-02-13||Armed Forces and National Security||No||No
hr1008||115||Ensuring the Reliability of Our Hurricane Hunter Aircraft Act||2017-02-13||Science, Technology, Communications||No||No
hr1009||115||OIRA Insight, Reform, and Accountability Act||2017-02-13||Government Operations and Politics||No||No
hr101||115||Veterans Healthcare Improvement Act||2017-01-03||Armed Forces and National Security||No||No
hr1010||115||Defense of Legal Workers Act of 2017||2017-02-13||Immigration||No||No
hr1011||115||Health and Human Services Hiree Clarification Act||2017-02-13||Health||No||No
hr1012||115||Group Term Life Insurance Increase Act of 2017||2017-02-13||Taxation||No||No
hr1013||115||Pre-K Teacher Parity Act||2017-02-13||Taxation||No||No
hr1014||115||Haiti Emergency Relief Act of 2017||2017-02-13||Immigration||No||No
hr1015||115||Complete America's Great Trails Act||2017-02-13||Taxation||No||No
hr1016||115||Federal Executive Accountability Act of 2017||2017-02-13||Government Operations and Politics||No||No
hr1017||115||Removing Barriers to Colorectal Cancer Screening Act of 2017||2017-02-13||Health||No||No
hr1018||115||CFPB Constitutional Reform Act of 2017||2017-02-13||Finance and Financial Sector||No||No
hr1019||115||"To designate the Federal building and United States courthouse located at 255 West Main Street Charlottesville, Virginia, as the ""Justice Antonin G. Scalia Federal Building and United States Courthouse""."||2017-02-13||Government Operations and Politics||No||No
hr102||115||Expanding Care for Veterans Act||2017-01-03||Armed Forces and National Security||No||No
hr1020||115||Compassionate Freedom of Choice Act of 2017||2017-02-13||Health||No||No
hr1021||115||Expatriate Terrorist Act||2017-02-13||Immigration||No||No
hr1022||115||Federal Employees Paid Parental Leave Act of 2017||2017-02-13||Government Operations and Politics||No||No
hr1023||115||Duty to Report Sexual Assault Act of 2017||2017-02-13||Crime and Law Enforcement||No||No
hr1024||115||To amend section 1105(a) of title 31, United States Code, to require that annual budget submissions of the President to Congress provide an estimate of the cost per taxpayer of the deficit and of the public debt.||2017-02-13||Economics and Public Finance||No||No
hr1025||115||Eyes on the Courts Act of 2017||2017-02-13||Law||No||No
hr1026||115||North Country National Scenic Trail Route Adjustment Act||2017-02-13||Public Lands and Natural Resources||No||No
hr1027||115||Hallways to Health Act||2017-02-13||Health||No||No
hr1028||115||Commute Less Act of 2017||2017-02-13||Transportation and Public Works||No||No
hr1029||115||Pesticide Registration Improvement Extension Act of 2018||2017-02-14||Environmental Protection||No||No
hr103||115||Chiropractic Care Available to All Veterans Act||2017-01-03||Armed Forces and National Security||No||No
hr1030||115||Cyber Attack Standards of Measurement Study||2017-02-14||Armed Forces and National Security||No||No
