member_id||congress||chamber||party||state||district
J000297||115||house||R||WV||3
J000290||115||house||R||KS||2
J000288||115||house||D||GA||4
J000292||115||house||R||OH||6
J000126||115||house||D||TX||30
J000174||115||house||R||TX||3
J000299||115||house||R||LA||4
J000303||115||house||D||MI||13
J000255||115||house||R||NC||3
J000289||115||house||R||OH||4
J000295||115||house||R||OH||14
K000009||115||house||D||OH||9
K000386||115||house||R||NY||24
K000375||115||house||D||MA||9
K000388||115||house||R||MS||1
K000376||115||house||R||PA||3
K000385||115||house||D||IL||2
K000379||115||house||D||MA||4
K000389||115||house||D||CA||17
K000390||115||house||D||NV||4
K000380||115||house||D||MI||5
K000381||115||house||D||WA||6
K000188||115||house||D||WI||3
K000210||115||house||R||NY||2
K000362||115||house||R||IA||4
K000378||115||house||R||IL||16
K000387||115||house||R||CA||25
K000391||115||house||D||IL||8
K000382||115||house||D||NH||2
K000392||115||house||R||TN||8
L000573||115||house||R||ID||1
L000585||115||house||R||IL||18
L000578||115||house||R||CA||1
L000588||115||house||D||PA||18
L000564||115||house||R||CO||5
L000567||115||house||R||NJ||7
L000559||115||house||D||RI||2
L000560||115||house||D||WA||2
L000557||115||house||D||CT||1
L000566||115||house||R||OH||5
L000581||115||house||D||MI||14
L000586||115||house||D||FL||5
L000551||115||house||D||CA||13
L000589||115||house||R||AZ||8
L000263||115||house||D||MI||9
L000587||115||house||R||MN||2
L000287||115||house||D||GA||5
L000582||115||house||D||CA||33
L000563||115||house||D||IL||3
L000554||115||house||R||NJ||2
L000565||115||house||D||IA||2
L000397||115||house||D||CA||19
L000576||115||house||R||MO||7
L000583||115||house||R||GA||11
L000584||115||house||R||UT||4
L000579||115||house||D||CA||47
L000480||115||house||D||NY||17
L000491||115||house||R||OK||3
L000569||115||house||R||MO||3
L000570||115||house||D||NM||3
L000580||115||house||D||NM||1
L000562||115||house||D||MA||8
M001193||115||house||R||NJ||3
M000087||115||house||D||NY||12
M001185||115||house||D||NY||18
M001158||115||house||R||TX||24
M001179||115||house||R||PA||10
M001198||115||house||R||KS||1
M001184||115||house||R||KY||4
M001199||115||house||R||FL||18
M001163||115||house||D||CA||6
M001165||115||house||R||CA||23
M001157||115||house||R||TX||10
M001177||115||house||R||CA||4
M001143||115||house||D||MN||4
M001200||115||house||D||VA||4
M000312||115||house||D||MA||2
M001156||115||house||R||NC||10
M001180||115||house||R||WV||1
M001159||115||house||R||WA||5
M001166||115||house||D||CA||9
M001197||115||house||R||AZ||2
M001187||115||house||R||NC||11
M001181||115||house||R||PA||7
M001137||115||house||D||NY||5
M001188||115||house||D||NY||6
M001189||115||house||R||IN||6
M001201||115||house||R||MI||10
M001194||115||house||R||MI||4
M001195||115||house||R||WV||2
M001160||115||house||D||WI||4
M001206||115||house||D||NY||25
M001196||115||house||D||MA||6
M001190||115||house||R||OK||2
M001182||115||house||R||SC||5
M001202||115||house||D||FL||7
M001151||115||house||R||PA||18
N000002||115||house||D||NY||10
N000179||115||house||D||CA||32
N000015||115||house||D||MA||1
N000189||115||house||R||WA||4
N000184||115||house||R||SD||At-Large
N000127||115||house||D||MN||8
N000188||115||house||D||NJ||1
N000190||115||house||R||SC||5
N000147||115||house||D||DC||At-Large
N000181||115||house||R||CA||22
O000171||115||house||D||AZ||1
O000170||115||house||D||TX||16
O000168||115||house||R||TX||22
P000601||115||house||R||MS||4
P000034||115||house||D||NJ||6
P000609||115||house||R||AL||6
P000613||115||house||D||CA||20
P000096||115||house||D||NJ||9
P000594||115||house||R||MN||3
P000604||115||house||D||NJ||10
P000588||115||house||R||NM||2
P000197||115||house||D||CA||12
P000593||115||house||D||CO||7
P000605||115||house||R||PA||4
P000608||115||house||D||CA||52
P000258||115||house||D||MN||7
P000597||115||house||D||ME||1
P000606||115||house||R||NC||9
P000610||115||house||D||VI||At-Large
P000607||115||house||D||WI||2
P000592||115||house||R||TX||2
P000611||115||house||R||ME||2
P000598||115||house||D||CO||2
P000602||115||house||R||KS||4
P000599||115||house||R||FL||8
P000523||115||house||D||NC||4
P000591||115||house||R||GA||6
Q000023||115||house||D||IL||5
R000600||115||house||R||AS||At-Large
R000606||115||house||D||MD||8
R000601||115||house||R||TX||4
R000585||115||house||R||NY||23
R000578||115||house||R||WA||8
R000586||115||house||R||OH||16
R000602||115||house||D||NY||4
R000597||115||house||R||SC||7
R000588||115||house||D||LA||2
R000591||115||house||R||AL||2
R000582||115||house||R||TN||1
R000575||115||house||R||AL||3
R000395||115||house||R||KY||5
R000409||115||house||R||CA||48
R000592||115||house||R||IN||4
R000607||115||house||R||FL||19
R000583||115||house||R||FL||17
R000435||115||house||R||FL||27
R000608||115||house||D||NV||3
R000580||115||house||R||IL||6
R000593||115||house||R||FL||15
R000598||115||house||R||PA||12
R000603||115||house||R||NC||7
R000486||115||house||D||CA||40
R000487||115||house||R||CA||39
R000599||115||house||D||CA||36
R000576||115||house||D||MD||2
R000515||115||house||D||IL||1
R000604||115||house||R||OK||5
R000609||115||house||R||FL||4
R000570||115||house||R||WI||1
R000577||115||house||D||OH||13
S001177||115||house||D||MP||At-Large
S001156||115||house||D||CA||38
S000051||115||house||R||SC||1
S001168||115||house||D||MD||3
S001176||115||house||R||LA||1
S001205||115||house||D||PA||7
S001145||115||house||D||IL||9
S001150||115||house||D||CA||28
S001190||115||house||D||IL||10
S001180||115||house||D||OR||5
S001183||115||house||R||AZ||6
S000185||115||house||D||VA||3
S001157||115||house||D||GA||13
S001189||115||house||R||GA||8
S000244||115||house||R||WI||5
S000248||115||house||D||NY||15
S000250||115||house||R||TX||32
S001185||115||house||D||AL||7
S001170||115||house||D||NH||1
S000344||115||house||D||CA||30
S000364||115||house||R||IL||15
S001154||115||house||R||PA||9
S001148||115||house||R||ID||2
S001191||115||house||D||AZ||9
S001165||115||house||D||NJ||8
S000480||115||house||D||NY||25
S000522||115||house||R||NJ||4
S000583||115||house||R||TX||21
S001195||115||house||R||MO||8
S001172||115||house||R||NE||3
S000510||115||house||D||WA||9
S001199||115||house||R||PA||16
S001200||115||house||D||FL||9
S001175||115||house||D||CA||14
S001196||115||house||R||NY||21
S001192||115||house||R||UT||2
S001187||115||house||R||OH||15
S001201||115||house||D||NY||3
S001193||115||house||D||CA||15
T000472||115||house||D||CA||41
T000477||115||house||R||VA||2
T000478||115||house||R||NY||22
T000193||115||house||D||MS||2
T000460||115||house||D||CA||5
T000467||115||house||R||PA||5
T000238||115||house||R||TX||13
T000462||115||house||R||OH||12
T000470||115||house||R||CO||3
T000468||115||house||D||NV||1
T000469||115||house||D||NY||20
T000474||115||house||D||CA||35
T000475||115||house||R||MI||11
T000465||115||house||D||MA||3
T000463||115||house||R||OH||10
U000031||115||house||R||MI||6
V000129||115||house||R||CA||21
V000130||115||house||D||CA||51
V000131||115||house||D||TX||33
V000132||115||house||D||TX||34
V000081||115||house||D||NY||7
V000108||115||house||D||IN||1
W000812||115||house||R||MO||2
W000798||115||house||R||MI||7
W000791||115||house||R||OR||2
W000819||115||house||R||NC||6
W000813||115||house||R||IN||2
W000820||115||house||R||CA||45
W000799||115||house||D||MN||1
W000797||115||house||D||FL||23
W000187||115||house||D||CA||43
W000822||115||house||D||NJ||12
W000814||115||house||R||TX||14
W000806||115||house||R||FL||11
W000800||115||house||D||VT||At-Large
W000815||115||house||R||OH||2
W000821||115||house||R||AR||4
W000826||115||house||D||PA||15
W000816||115||house||R||TX||25
W000795||115||house||R||SC||2
W000808||115||house||D||FL||24
W000804||115||house||R||VA||1
W000809||115||house||R||AR||3
W000810||115||house||R||GA||7
Y000062||115||house||D||KY||3
Y000063||115||house||R||KS||3
Y000065||115||house||R||FL||3
Y000033||115||house||R||AK||At-Large
Y000066||115||house||R||IA||3
Z000017||115||house||R||NY||1
Z000018||115||house||R||MT||At-Large
A000360||115||senate||R||TN||
B001230||115||senate||D||WI||
B001261||115||senate||R||WY||
B001267||115||senate||D||CO||
B001277||115||senate||D||CT||
B000575||115||senate||R||MO||
B001288||115||senate||D||NJ||
B001236||115||senate||R||AR||
B000944||115||senate||D||OH||
B001135||115||senate||R||NC||
C000127||115||senate||D||WA||
C001047||115||senate||R||WV||
C000141||115||senate||D||MD||
C000174||115||senate||D||DE||
C001070||115||senate||D||PA||
C001075||115||senate||R||LA||
C000567||115||senate||R||MS||
C001035||115||senate||R||ME||
C001088||115||senate||D||DE||
C001071||115||senate||R||TN||
C001056||115||senate||R||TX||
C001113||115||senate||D||NV||
C001095||115||senate||R||AR||
C000880||115||senate||R||ID||
C001098||115||senate||R||TX||
D000618||115||senate||R||MT||
D000607||115||senate||D||IN||
D000622||115||senate||D||IL||
D000563||115||senate||D||IL||
E000285||115||senate||R||WY||
E000295||115||senate||R||IA||
F000062||115||senate||D||CA||
F000463||115||senate||R||NE||
F000444||115||senate||R||AZ||
F000457||115||senate||D||MN||
G000562||115||senate||R||CO||
G000555||115||senate||D||NY||
G000359||115||senate||R||SC||
G000386||115||senate||R||IA||
H001075||115||senate||D||CA||
H001076||115||senate||D||NH||
H000338||115||senate||R||UT||
H001046||115||senate||D||NM||
H001069||115||senate||D||ND||
H001041||115||senate||R||NV||
H001042||115||senate||D||HI||
H001061||115||senate||R||ND||
H001079||115||senate||R||MS||
I000024||115||senate||R||OK||
I000055||115||senate||R||GA||
J000293||115||senate||R||WI||
J000300||115||senate||D||AL||
K000384||115||senate||D||VA||
K000393||115||senate||R||LA||
K000383||115||senate||ID||ME||
K000367||115||senate||D||MN||
K000352||115||senate||R||AZ||
L000575||115||senate||R||OK||
L000174||115||senate||D||VT||
L000577||115||senate||R||UT||
M001183||115||senate||D||WV||
M000133||115||senate||D||MA||
M000303||115||senate||R||AZ||
M001170||115||senate||D||MO||
M000355||115||senate||R||KY||
M000639||115||senate||D||NJ||
M001176||115||senate||D||OR||
M000934||115||senate||R||KS||
M001153||115||senate||R||AK||
M001169||115||senate||D||CT||
M001111||115||senate||D||WA||
N000032||115||senate||D||FL||
P000603||115||senate||R||KY||
P000612||115||senate||R||GA||
P000595||115||senate||D||MI||
P000449||115||senate||R||OH||
R000122||115||senate||D||RI||
R000584||115||senate||R||ID||
R000307||115||senate||R||KS||
R000605||115||senate||R||SD||
R000595||115||senate||R||FL||
S000033||115||senate||ID||VT||
S001197||115||senate||R||NE||
S001194||115||senate||D||HI||
S000148||115||senate||D||NY||
S001184||115||senate||R||SC||
S001141||115||senate||R||AL||
S001181||115||senate||D||NH||
S000320||115||senate||R||AL||
S001203||115||senate||D||MN||
S000770||115||senate||D||MI||
S001202||115||senate||R||AL||
S001198||115||senate||R||AK||
T000464||115||senate||D||MT||
T000250||115||senate||R||SD||
T000476||115||senate||R||NC||
T000461||115||senate||R||PA||
U000039||115||senate||D||NM||
V000128||115||senate||D||MD||
W000805||115||senate||D||VA||
W000817||115||senate||D||MA||
W000802||115||senate||D||RI||
W000437||115||senate||R||MS||
W000779||115||senate||D||OR||
Y000064||115||senate||R||IN||
A000374||116||house||R||LA||5
A000370||116||house||D||NC||12
A000055||116||house||R||AL||4
A000371||116||house||D||CA||31
A000372||116||house||R||GA||12
A000376||116||house||D||TX||32
A000367||116||house||I||MI||3
A000369||116||house||R||NV||2
A000377||116||house||R||ND||At-Large
A000375||116||house||R||TX||19
A000378||116||house||D||IA||3
B001291||116||house||R||TX||36
B001298||116||house||R||NE||2
B001307||116||house||R||IN||4
B001306||116||house||R||OH||12
B001299||116||house||R||IN||3
B001282||116||house||R||KY||6
B001300||116||house||D||CA||44
B001270||116||house||D||CA||37
B001281||116||house||D||OH||3
B001287||116||house||D||CA||7
B001301||116||house||R||MI||1
B001292||116||house||D||VA||8
B001302||116||house||R||AZ||5
B001257||116||house||R||FL||12
B001311||116||house||R||NC||9
B001250||116||house||R||UT||1
B000490||116||house||D||GA||2
B000574||116||house||D||OR||3
B001303||116||house||D||DE||At-Large
B001278||116||house||D||OR||1
B001295||116||house||R||IL||12
B001296||116||house||D||PA||2
B000755||116||house||R||TX||8
B001308||116||house||D||NY||22
B001274||116||house||R||AL||5
B001284||116||house||R||IN||5
B001304||116||house||D||MD||4
B001285||116||house||D||CA||26
B001260||116||house||R||FL||16
B001297||116||house||R||CO||4
B001275||116||house||R||IN||8
B001305||116||house||R||NC||13
B001309||116||house||R||TN||2
B001248||116||house||R||TX||26
B001286||116||house||D||IL||17
B001251||116||house||D||NC||1
B001289||116||house||R||AL||1
C000059||116||house||R||CA||42
C001112||116||house||D||CA||24
C001097||116||house||D||CA||29
C001072||116||house||D||IN||7
C001051||116||house||R||TX||31
C001103||116||house||R||GA||1
C001090||116||house||D||PA||8
C001055||116||house||D||HI||1
C001117||116||house||D||IL||6
C001066||116||house||D||FL||14
C001091||116||house||D||TX||20
C000266||116||house||R||OH||1
C001109||116||house||R||WY||At-Large
C001080||116||house||D||CA||27
C001084||116||house||D||RI||1
C001123||116||house||D||CA||39
C001101||116||house||D||MA||5
C001067||116||house||D||NY||9
C001049||116||house||D||MO||1
C001061||116||house||D||MO||5
C001118||116||house||R||VA||6
C001115||116||house||R||TX||27
C000537||116||house||D||SC||6
C001068||116||house||D||TN||9
C001053||116||house||R||OK||4
C001093||116||house||R||GA||9
C001092||116||house||R||NY||27
C001108||116||house||R||KY||1
C001062||116||house||R||TX||11
C001078||116||house||D||VA||11
C001094||116||house||R||CA||8
C000754||116||house||D||TN||5
C001110||116||house||D||CA||46
C001059||116||house||D||CA||16
C001069||116||house||D||CT||2
C001124||116||house||D||CA||21
C001119||116||house||D||MN||2
C001087||116||house||R||AR||1
C001120||116||house||R||TX||2
C001111||116||house||D||FL||13
C001121||116||house||D||CO||6
C001063||116||house||D||TX||28
C000984||116||house||D||MD||7
C001122||116||house||D||SC||1
C001114||116||house||R||UT||3
D000629||116||house||D||KS||3
D000626||116||house||R||OH||8
D000096||116||house||D||IL||7
D000619||116||house||R||IL||13
D000598||116||house||D||CA||53
D000631||116||house||D||PA||4
D000191||116||house||D||OR||4
D000197||116||house||D||CO||1
D000216||116||house||D||CT||3
D000617||116||house||D||WA||1
D000630||116||house||D||NY||19
D000627||116||house||D||FL||10
D000623||116||house||D||CA||11
D000616||116||house||R||TN||4
D000610||116||house||D||FL||22
D000600||116||house||R||FL||25
D000624||116||house||D||MI||12
D000399||116||house||D||TX||35
D000482||116||house||D||PA||18
D000614||116||house||R||WI||7
D000615||116||house||R||SC||3
D000628||116||house||R||FL||2
E000294||116||house||R||MN||6
E000179||116||house||D||NY||16
E000299||116||house||D||TX||16
E000215||116||house||D||CA||18
E000297||116||house||D||NY||13
E000298||116||house||R||KS||4
E000296||116||house||D||PA||3
F000465||116||house||R||GA||3
F000467||116||house||D||IA||1
F000466||116||house||R||PA||1
F000459||116||house||R||TN||3
F000468||116||house||D||TX||7
F000461||116||house||R||TX||17
F000449||116||house||R||NE||1
F000454||116||house||D||IL||11
F000450||116||house||R||NC||5
F000462||116||house||D||FL||21
F000455||116||house||D||OH||11
F000469||116||house||R||ID||1
G000571||116||house||D||HI||2
G000578||116||house||R||FL||1
G000579||116||house||R||WI||8
G000574||116||house||D||AZ||7
G000559||116||house||D||CA||3
G000587||116||house||D||TX||29
G000586||116||house||D||IL||4
G000061||116||house||R||CA||25
G000584||116||house||R||MT||At-Large
G000563||116||house||R||OH||7
G000552||116||house||R||TX||1
G000592||116||house||D||ME||2
G000585||116||house||D||CA||34
G000588||116||house||R||OH||16
G000581||116||house||D||TX||15
G000582||116||house||R||PR||At-Large
G000589||116||house||R||TX||5
G000565||116||house||R||AZ||4
G000583||116||house||D||NJ||5
G000377||116||house||R||TX||12
G000560||116||house||R||GA||14
G000577||116||house||R||LA||6
G000546||116||house||R||MO||6
G000553||116||house||D||TX||9
G000590||116||house||R||TN||7
G000568||116||house||R||VA||9
G000551||116||house||D||AZ||3
G000576||116||house||R||WI||6
G000591||116||house||R||MS||3
G000558||116||house||R||KY||2
H001080||116||house||D||NM||1
H001088||116||house||R||MN||1
H001092||116||house||D||GA||5
H001090||116||house||D||CA||10
H001052||116||house||R||MD||1
H001053||116||house||R||MO||4
H000324||116||house||D||FL||20
H001081||116||house||D||CT||5
H001064||116||house||D||WA||10
H001082||116||house||R||OK||1
H001056||116||house||R||WA||3
H001071||116||house||R||GA||10
H001077||116||house||R||LA||3
H001038||116||house||D||NY||26
H001087||116||house||D||CA||25
H001072||116||house||R||AR||2
H001047||116||house||D||CT||4
H001065||116||house||R||NC||2
H001074||116||house||R||IN||9
H001083||116||house||D||OK||5
H001066||116||house||D||NV||4
H001085||116||house||D||PA||6
H000874||116||house||D||MD||5
H001067||116||house||R||NC||8
H001068||116||house||D||CA||2
H001058||116||house||R||MI||2
H001048||116||house||R||CA||50
H001073||116||house||R||TX||23
J000032||116||house||D||TX||18
J000020||116||house||R||NY||27
J000298||116||house||D||WA||7
J000294||116||house||D||NY||8
J000299||116||house||R||LA||4
J000301||116||house||R||SD||At-Large
J000292||116||house||R||OH||6
J000126||116||house||D||TX||30
J000288||116||house||D||GA||4
J000255||116||house||R||NC||3
J000289||116||house||R||OH||4
J000295||116||house||R||OH||14
J000302||116||house||R||PA||13
K000009||116||house||D||OH||9
K000386||116||house||R||NY||24
K000375||116||house||D||MA||9
K000395||116||house||R||PA||12
K000385||116||house||D||IL||2
K000376||116||house||R||PA||16
K000388||116||house||R||MS||1
K000379||116||house||D||MA||4
K000389||116||house||D||CA||17
K000380||116||house||D||MI||5
K000381||116||house||D||WA||6
K000394||116||house||D||NJ||3
K000188||116||house||D||WI||3
K000210||116||house||R||NY||2
K000362||116||house||R||IA||4
K000378||116||house||R||IL||16
K000368||116||house||D||AZ||2
K000391||116||house||D||IL||8
K000382||116||house||D||NH||2
K000392||116||house||R||TN||8
L000585||116||house||R||IL||18
L000578||116||house||R||CA||1
L000588||116||house||D||PA||17
L000564||116||house||R||CO||5
L000559||116||house||D||RI||2
L000560||116||house||D||WA||2
L000557||116||house||D||CT||1
L000566||116||house||R||OH||5
L000581||116||house||D||MI||14
L000586||116||house||D||FL||5
L000551||116||house||D||CA||13
L000590||116||house||D||NV||3
L000589||116||house||R||AZ||8
L000593||116||house||D||CA||49
L000592||116||house||D||MI||9
L000287||116||house||D||GA||5
L000582||116||house||D||CA||33
L000563||116||house||D||IL||3
L000565||116||house||D||IA||2
L000397||116||house||D||CA||19
L000576||116||house||R||MO||7
L000583||116||house||R||GA||11
L000579||116||house||D||CA||47
L000480||116||house||D||NY||17
L000491||116||house||R||OK||3
L000569||116||house||R||MO||3
L000570||116||house||D||NM||3
L000591||116||house||D||VA||2
L000562||116||house||D||MA||8
M001203||116||house||D||NJ||7
M001185||116||house||D||NY||18
M000087||116||house||D||NY||12
M001158||116||house||R||TX||24
M001179||116||house||R||PA||12
M001198||116||house||R||KS||1
M001184||116||house||R||KY||4
M001199||116||house||R||FL||18
M001163||116||house||D||CA||6
M001209||116||house||D||UT||4
M001208||116||house||D||GA||6
M001165||116||house||R||CA||23
M001157||116||house||R||TX||10
M001177||116||house||R||CA||4
M001143||116||house||D||MN||4
M001200||116||house||D||VA||4
M000312||116||house||D||MA||2
M001156||116||house||R||NC||10
M001180||116||house||R||WV||1
M001159||116||house||R||WA||5
M001166||116||house||D||CA||9
M001187||116||house||R||NC||11
M001137||116||house||D||NY||5
M001188||116||house||D||NY||6
M001204||116||house||R||PA||9
M000687||116||house||D||MD||7
M001205||116||house||R||WV||3
M001201||116||house||R||MI||10
M001194||116||house||R||MI||4
M001195||116||house||R||WV||2
M001160||116||house||D||WI||4
M001206||116||house||D||NY||25
M001196||116||house||D||MA||6
M001207||116||house||D||FL||26
M001190||116||house||R||OK||2
M001210||116||house||R||NC||3
M001202||116||house||D||FL||7
N000002||116||house||D||NY||10
N000179||116||house||D||CA||32
N000015||116||house||D||MA||1
N000191||116||house||D||CO||2
N000189||116||house||R||WA||4
N000188||116||house||D||NJ||1
N000190||116||house||R||SC||5
N000147||116||house||D||DC||At-Large
N000181||116||house||R||CA||22
O000171||116||house||D||AZ||1
O000172||116||house||D||NY||14
O000168||116||house||R||TX||22
O000173||116||house||D||MN||5
P000601||116||house||R||MS||4
P000034||116||house||D||NJ||6
P000609||116||house||R||AL||6
P000613||116||house||D||CA||20
P000614||116||house||D||NH||1
P000096||116||house||D||NJ||9
P000604||116||house||D||NJ||10
P000197||116||house||D||CA||12
P000615||116||house||R||IN||6
P000593||116||house||D||CO||7
P000605||116||house||R||PA||10
P000608||116||house||D||CA||52
P000258||116||house||D||MN||7
P000616||116||house||D||MN||3
P000597||116||house||D||ME||1
P000610||116||house||D||VI||At-Large
P000607||116||house||D||WI||2
P000618||116||house||D||CA||45
P000599||116||house||R||FL||8
P000617||116||house||D||MA||7
P000523||116||house||D||NC||4
Q000023||116||house||D||IL||5
R000600||116||house||R||AS||At-Large
R000606||116||house||D||MD||8
R000601||116||house||R||TX||4
R000585||116||house||R||NY||23
R000610||116||house||R||PA||14
R000602||116||house||D||NY||4
R000597||116||house||R||SC||7
R000588||116||house||D||LA||2
R000611||116||house||R||VA||5
R000591||116||house||R||AL||2
R000582||116||house||R||TN||1
R000395||116||house||R||KY||5
R000575||116||house||R||AL||3
R000607||116||house||R||FL||19
R000612||116||house||R||TN||6
R000613||116||house||D||NY||11
R000616||116||house||D||CA||48
R000603||116||house||R||NC||7
R000614||116||house||R||TX||21
R000486||116||house||D||CA||40
R000599||116||house||D||CA||36
R000576||116||house||D||MD||2
R000515||116||house||D||IL||1
R000609||116||house||R||FL||4
R000577||116||house||D||OH||13
S001177||116||house||D||MP||At-Large
S001204||116||house||D||GU||At-Large
S001156||116||house||D||CA||38
S001168||116||house||D||MD||3
S001176||116||house||R||LA||1
S001205||116||house||D||PA||5
S001145||116||house||D||IL||9
S001150||116||house||D||CA||28
S001190||116||house||D||IL||10
S001180||116||house||D||OR||5
