member_id||firstName||middleName||lastName||birthday||gender
S000051||Mark||||Sanford||1960-05-28||M
S000250||Pete||||Sessions||1955-03-22||M
S001170||Carol||||Shea-Porter||1952-12-02||F
S001154||Bill||||Shuster||1961-01-10||M
S000480||Louise||M.||Slaughter||1929-08-14||F
S000583||Lamar||||Smith||1947-11-19||M
T000477||Scott||||Taylor||1979-06-27||M
T000478||Claudia||||Tenney||1961-02-04||F
T000462||Pat||||Tiberi||1962-10-21||M
T000475||Dave||||Trott||1960-10-16||M
T000465||Niki||||Tsongas||1946-04-26||F
V000129||David||||Valadao||1977-04-14||M
W000820||Mimi||||Walters||1962-05-14||F
W000799||Tim||||Walz||1964-04-06||M
Y000063||Kevin||||Yoder||1976-01-08||M
Y000066||David||||Young||1968-05-11||M
Z000018||Ryan||||Zinke||1961-11-01||M
C000567||Thad||||Cochran||1937-12-07||M
C001071||Bob||||Corker||1952-08-24||M
D000607||Joe||||Donnelly||1955-09-28||M
F000444||Jeff||||Flake||1962-12-31||M
F000457||Al||||Franken||1951-05-21||M
H000338||Orrin||G.||Hatch||1934-03-22||M
H001069||Heidi||||Heitkamp||1955-10-30||F
H001041||Dean||||Heller||1960-05-10||M
K000352||Jon||||Kyl||1942-04-25||M
M000303||John||||McCain||1936-08-29||M
M001170||Claire||||McCaskill||1953-07-24||F
N000032||Bill||||Nelson||1942-09-29||M
S001141||Jeff||||Sessions||1946-12-24||M
S001202||Luther||||Strange||1953-03-01||M
A000374||Ralph||||Abraham||1954-09-16||M
A000370||Alma||||Adams||1946-05-27||F
A000055||Robert||B.||Aderholt||1965-07-22||M
A000371||Pete||||Aguilar||1979-06-19||M
A000372||Rick||||Allen||1951-11-07||M
A000376||Colin||||Allred||1983-04-15||M
A000367||Justin||||Amash||1980-04-18||M
A000369||Mark||||Amodei||1958-06-12||M
A000377||Kelly||||Armstrong||1976-10-08||M
A000375||Jodey||||Arrington||1972-03-09||M
A000378||Cynthia||||Axne||1965-04-20||F
B001291||Brian||||Babin||1948-03-23||M
B001298||Don||||Bacon||1963-08-16||M
B001307||James||||Baird||1945-06-04||M
B001306||Troy||||Balderson||1962-01-16||M
B001299||Jim||||Banks||1979-07-16||M
B001282||Andy||||Barr||1973-07-24||M
B001300||Nanette||||Barragán||1976-09-15||F
B001270||Karen||||Bass||1953-10-03||F
B001281||Joyce||||Beatty||1950-03-12||F
B001287||Ami||||Bera||1965-03-02||M
B001301||Jack||||Bergman||1947-02-02||M
B001292||Donald||||Beyer||1950-06-20||M
B001302||Andy||||Biggs||1958-11-07||M
B001257||Gus||||Bilirakis||1963-02-08||M
B001311||Dan||||Bishop||1964-07-01||M
B001250||Rob||||Bishop||1951-07-13||M
B000490||Sanford||D.||Bishop||1947-02-04||M
B000574||Earl||||Blumenauer||1948-08-16||M
B001303||Lisa||||Blunt Rochester||1962-02-10||F
B001278||Suzanne||||Bonamici||1954-10-14||F
B001295||Mike||||Bost||1960-12-30||M
B001296||Brendan||||Boyle||1977-02-06||M
B000755||Kevin||||Brady||1955-04-11||M
B001308||Anthony||||Brindisi||1978-11-22||M
B001274||Mo||||Brooks||1954-04-29||M
B001284||Susan||||Brooks||1960-08-25||F
B001304||Anthony||||Brown||1961-11-21||M
B001285||Julia||||Brownley||1952-08-28||F
B001260||Vern||||Buchanan||1951-05-08||M
B001297||Ken||||Buck||1959-02-16||M
B001275||Larry||||Bucshon||1962-05-31||M
B001305||Ted||||Budd||1971-10-21||M
B001309||Tim||||Burchett||1964-08-25||M
B001248||Michael||C.||Burgess||1950-12-23||M
B001286||Cheri||||Bustos||1961-10-17||F
B001251||G.||K.||Butterfield||1947-04-27||M
B001289||Bradley||||Byrne||1955-02-16||M
C000059||Ken||||Calvert||1953-06-08||M
C001112||Salud||||Carbajal||1964-11-18||M
C001097||Tony||||Cárdenas||1963-03-31||M
C001072||André||||Carson||1974-10-16||M
C001051||John||||Carter||1941-11-06||M
C001103||Buddy||||Carter||1957-09-06||M
C001090||Matt||||Cartwright||1961-05-01||M
C001055||Ed||||Case||1952-09-27||M
C001117||Sean||||Casten||1971-11-23||M
C001066||Kathy||||Castor||1966-08-20||F
C001091||Joaquín||||Castro||1974-09-16||M
C000266||Steven||J.||Chabot||1953-01-22||M
C001109||Liz||||Cheney||1966-07-28||F
C001080||Judy||||Chu||1953-07-07||F
C001084||David||||Cicilline||1961-07-15||M
C001123||Gilbert||||Cisneros||1971-02-12||M
C001101||Katherine||||Clark||1963-07-17||F
C001067||Yvette||D.||Clarke||1964-11-21||F
C001049||William||Lacy||Clay||1956-07-27||M
C001061||Emanuel||||Cleaver||1944-10-26||M
C001118||Ben||||Cline||1972-02-29||M
C001115||Michael||||Cloud||1975-05-13||M
C000537||James||E.||Clyburn||1940-07-21||M
C001068||Steve||||Cohen||1949-05-24||M
C001053||Tom||||Cole||1949-04-28||M
C001093||Doug||||Collins||1966-08-16||M
C001092||Chris||||Collins||1950-05-20||M
C001108||James||||Comer||1972-08-19||M
C001062||K.||Michael||Conaway||1948-06-11||M
C001078||Gerald||E.||Connolly||1950-03-30||M
C001094||Paul||||Cook||1943-03-03||M
C000754||Jim||||Cooper||1954-06-19||M
C001110||J.||Luis||Correa||1958-01-24||M
C001059||Jim||||Costa||1952-04-13||M
C001069||Joe||||Courtney||1953-04-06||M
C001124||TJ||||Cox||1963-07-18||M
C001119||Angie||||Craig||1972-02-14||F
C001087||Rick||||Crawford||1966-01-22||M
C001120||Dan||||Crenshaw||1984-03-14||M
C001111||Charlie||||Crist||1956-07-24||M
C001121||Jason||||Crow||1979-03-15||M
C001063||Henry||||Cuellar||1955-09-19||M
C000984||Elijah||E.||Cummings||1951-01-18||M
C001122||Joe||||Cunningham||1982-05-26||M
C001114||John||||Curtis||1960-05-10||M
D000629||Sharice||||Davids||1980-05-22||F
D000626||Warren||||Davidson||1970-03-01||M
D000096||Danny||K.||Davis||1941-09-06||M
D000619||Rodney||||Davis||1970-01-05||M
D000598||Susan||A.||Davis||1944-04-13||F
D000631||Madeleine||||Dean||1959-06-06||F
D000191||Peter||A.||DeFazio||1947-05-27||M
D000197||Diana||||DeGette||1957-07-29||F
D000216||Rosa||||DeLauro||1943-03-02||F
D000617||Suzan||K.||DelBene||1962-02-17||F
D000630||Antonio||||Delgado||1977-01-19||M
D000627||Val||||Demings||1957-03-12||F
D000623||Mark||||DeSaulnier||1952-03-31||M
D000616||Scott||||DesJarlais||1964-02-21||M
D000610||Ted||||Deutch||1966-05-07||M
D000600||Mario||||Diaz-Balart||1961-09-25||M
D000624||Debbie||||Dingell||1953-11-23||F
D000399||Lloyd||||Doggett||1946-10-06||M
D000482||Mike||||Doyle||1953-08-05||M
D000614||Sean||||Duffy||1971-10-03||M
D000615||Jeffrey||||Duncan||1966-01-07||M
D000628||Neal||||Dunn||1953-02-16||M
E000294||Tom||||Emmer||1961-03-03||M
E000179||Eliot||L.||Engel||1947-02-18||M
E000299||Veronica||||Escobar||1969-09-15||F
E000215||Anna||G.||Eshoo||1942-12-13||F
E000297||Adriano||||Espaillat||1954-09-27||M
E000298||Ron||||Estes||1956-07-19||M
E000296||Dwight||||Evans||1954-05-16||M
F000465||A.||Drew||Ferguson||1966-11-15||M
F000467||Abby||||Finkenauer||1988-12-27||F
F000466||Brian||||Fitzpatrick||1973-12-17||M
F000459||Chuck||||Fleischmann||1962-10-11||M
F000468||Lizzie||||Fletcher||1975-02-13||F
F000461||Bill||||Flores||1954-02-25||M
F000449||Jeff||||Fortenberry||1960-12-27||M
F000454||Bill||||Foster||1955-10-07||M
F000450||Virginia||||Foxx||1943-06-29||F
F000462||Lois||||Frankel||1948-05-16||F
F000455||Marcia||L.||Fudge||1952-10-29||F
F000469||Russ||||Fulcher||1973-07-19||M
G000571||Tulsi||||Gabbard||1981-04-12||F
G000578||Matt||||Gaetz||1982-05-07||M
G000579||Mike||||Gallagher||1984-03-03||M
G000574||Ruben||||Gallego||1979-11-20||M
G000559||John||||Garamendi||1945-01-24||M
G000587||Sylvia||||Garcia||1950-09-06||F
G000586||Jesús||||García||1956-04-12||M
G000061||Mike||||Garcia||1976-04-24||M
G000584||Greg||||Gianforte||1961-04-17||M
G000563||Bob||||Gibbs||1954-06-14||M
G000552||Louie||||Gohmert||1953-08-18||M
G000592||Jared||||Golden||1982-07-25||M
G000585||Jimmy||||Gomez||1974-11-25||M
G000588||Anthony||||Gonzalez||1984-09-19||M
G000581||Vicente||||Gonzalez||1967-09-04||M
G000582||Jenniffer||||González-Colón||1976-08-05||F
G000589||Lance||||Gooden||1982-12-01||M
G000565||Paul||||Gosar||1958-11-22||M
G000583||Josh||||Gottheimer||1975-03-08||M
G000377||Kay||||Granger||1943-01-18||F
G000560||Tom||||Graves||1970-02-03||M
G000577||Garret||||Graves||1972-01-31||M
G000546||Sam||||Graves||1963-11-07||M
G000553||Al||||Green||1947-09-01||M
G000590||Mark||||Green||1964-11-08||M
G000568||Morgan||||Griffith||1958-03-15||M
G000551||Raúl||M.||Grijalva||1948-02-19||M
G000576||Glenn||||Grothman||1955-07-03||M
G000591||Michael||||Guest||1970-02-04||M
G000558||Brett||||Guthrie||1964-02-18||M
H001080||Debra||||Haaland||1960-12-02||F
H001088||Jim||||Hagedorn||1962-08-04||M
H001092||Kwanza||||Hall||1971-05-01||M
H001090||Josh||||Harder||1986-08-01||M
H001052||Andy||||Harris||1957-01-25||M
H001053||Vicky||||Hartzler||1960-10-13||F
H000324||Alcee||L.||Hastings||1936-09-05||M
H001081||Jahana||||Hayes||1973-03-08||F
H001064||Denny||||Heck||1952-07-29||M
H001082||Kevin||||Hern||1961-12-04||M
H001056||Jaime||||Herrera Beutler||1978-11-03||F
H001071||Jody||||Hice||1960-04-22||M
H001077||Clay||||Higgins||1961-08-24||M
H001038||Brian||||Higgins||1959-10-06||M
H001087||Katie||||Hill||1987-08-25||F
H001072||French||||Hill||1956-12-05||M
H001047||Jim||||Himes||1966-07-05||M
H001065||George||||Holding||1968-04-17||M
H001074||Trey||||Hollingsworth||1983-09-12||M
H001083||Kendra||||Horn||1976-06-09||F
H001066||Steven||||Horsford||1973-04-29||M
H001085||Chrissy||||Houlahan||1967-06-05||F
H000874||Steny||H.||Hoyer||1939-06-14||M
H001067||Richard||||Hudson||1971-11-04||M
H001068||Jared||||Huffman||1964-02-18||M
H001058||Bill||||Huizenga||1969-01-31||M
H001048||Duncan||D.||Hunter||1976-12-07||M
H001073||Will||||Hurd||1977-08-19||M
J000032||Sheila||||Jackson Lee||1950-01-12||F
J000020||Chris||||Jacobs||1966-11-28||M
J000298||Pramila||||Jayapal||1965-09-21||F
J000294||Hakeem||||Jeffries||1970-08-04||M
J000299||Mike||||Johnson||1972-01-30||M
J000301||Dusty||||Johnson||1976-09-30||M
J000292||Bill||||Johnson||1954-11-10||M
J000126||Eddie||Bernice||Johnson||1935-12-03||F
J000288||Hank||||Johnson||1954-10-02||M
J000255||Walter||B.||Jones||1943-02-10||M
J000289||Jim||||Jordan||1964-02-17||M
J000295||Dave||||Joyce||1957-03-17||M
J000302||John||||Joyce||1957-02-08||M
K000009||Marcy||||Kaptur||1946-06-17||F
K000386||John||||Katko||1962-11-09||M
K000375||Bill||||Keating||1952-09-06||M
K000395||Fred||||Keller||1965-10-23||M
K000385||Robin||||Kelly||1956-04-30||F
K000376||Mike||||Kelly||1948-05-10||M
K000388||Trent||||Kelly||1966-03-01||M
K000379||Joseph||P.||Kennedy||1980-10-04||M
K000389||Ro||||Khanna||1976-09-13||M
K000380||Dan||||Kildee||1958-08-11||M
K000381||Derek||||Kilmer||1974-01-01||M
K000394||Andy||||Kim||1982-07-12||M
K000188||Ron||||Kind||1963-03-16||M
K000210||Peter||T.||King||1944-04-05||M
K000362||Steve||||King||1949-05-28||M
K000378||Adam||||Kinzinger||1978-02-27||M
K000368||Ann||||Kirkpatrick||1950-03-24||F
K000391||Raja||||Krishnamoorthi||1973-07-19||M
K000382||Ann||McLane||Kuster||1956-09-05||F
K000392||David||||Kustoff||1966-10-08||M
L000585||Darin||M.||LaHood||1968-07-05||M
L000578||Doug||||LaMalfa||1960-07-02||M
L000588||Conor||||Lamb||1984-06-27||M
L000564||Doug||||Lamborn||1954-05-24||M
L000559||Jim||||Langevin||1964-04-22||M
L000560||Rick||||Larsen||1965-06-15||M
L000557||John||B.||Larson||1948-07-22||M
L000566||Robert||E.||Latta||1956-04-18||M
L000581||Brenda||||Lawrence||1954-10-18||F
L000586||Al||||Lawson||1948-09-23||M
L000551||Barbara||||Lee||1946-07-16||F
L000590||Susie||||Lee||1966-11-07||F
L000589||Debbie||||Lesko||1958-11-14||F
L000593||Mike||||Levin||1978-10-28||M
L000592||Andy||||Levin||1960-08-01||M
L000287||John||||Lewis||1940-02-21||M
L000582||Ted||||Lieu||1969-03-29||M
L000563||Daniel||||Lipinski||1966-07-15||M
L000565||Dave||||Loebsack||1952-12-23||M
L000397||Zoe||||Lofgren||1947-12-21||F
L000576||Billy||||Long||1955-08-11||M
L000583||Barry||||Loudermilk||1963-12-22||M
L000579||Alan||||Lowenthal||1941-03-08||M
L000480||Nita||M.||Lowey||1937-07-05||F
L000491||Frank||D.||Lucas||1960-01-06||M
L000569||Blaine||||Luetkemeyer||1952-05-07||M
L000570||Ben||Ray||Luján||1972-06-07||M
L000591||Elaine||||Luria||1975-08-15||F
L000562||Stephen||F.||Lynch||1955-03-31||M
M001203||Tom||||Malinowski||1965-09-23||M
M001185||Sean||Patrick||Maloney||1966-07-30||M
M000087||Carolyn||B.||Maloney||1946-02-19||F
M001158||Kenny||||Marchant||1951-02-23||M
M001179||Tom||||Marino||1952-08-15||M
M001198||Roger||||Marshall||1960-08-09||M
M001184||Thomas||||Massie||1971-01-13||M
M001199||Brian||||Mast||1980-07-10||M
M001163||Doris||||Matsui||1944-09-25||F
M001209||Ben||||McAdams||1974-12-05||M
M001208||Lucy||||McBath||1960-06-01||F
M001165||Kevin||||McCarthy||1965-01-26||M
M001157||Michael||||McCaul||1962-01-14||M
M001177||Tom||||McClintock||1956-07-10||M
M001143||Betty||||McCollum||1954-07-12||F
M001200||A.||Donald||McEachin||1961-10-10||M
M000312||Jim||||McGovern||1959-11-20||M
M001156||Patrick||T.||McHenry||1975-10-22||M
M001180||David||||McKinley||1947-03-28||M
M001159||Cathy||||McMorris Rodgers||1969-05-22||F
M001166||Jerry||||McNerney||1951-06-18||M
M001187||Mark||||Meadows||1959-07-28||M
M001137||Gregory||W.||Meeks||1953-09-25||M
M001188||Grace||||Meng||1975-10-01||F
M001204||Daniel||||Meuser||1964-02-10||M
M000687||Kweisi||||Mfume||1948-10-24||M
M001205||Carol||||Miller||1950-11-04||F
M001201||Paul||||Mitchell||1961-05-08||M
M001194||John||||Moolenaar||1961-05-08||M
M001195||Alex||||Mooney||1971-06-05||M
M001160||Gwen||||Moore||1951-04-18||F
M001206||Joe||||Morelle||1957-04-29||M
M001196||Seth||||Moulton||1978-10-24||M
M001207||Debbie||||Mucarsel-Powell||1971-01-18||F
M001190||Markwayne||||Mullin||1977-07-26||M
M001210||Greg||||Murphy||1963-03-05||M
M001202||Stephanie||||Murphy||1978-09-16||F
N000002||Jerrold||||Nadler||1947-06-13||M
N000179||Grace||F.||Napolitano||1936-12-04||F
N000015||Richard||E.||Neal||1949-02-14||M
N000191||Joe||||Neguse||1984-05-13||M
N000189||Dan||||Newhouse||1955-07-10||M
N000188||Donald||W.||Norcross||1958-12-13||M
N000190||Ralph||||Norman||1953-06-20||M
N000147||Eleanor||Holmes||Norton||1937-06-13||F
N000181||Devin||||Nunes||1973-10-01||M
O000171||Tom||||O'Halleran||1946-01-24||M
O000172||Alexandria||||Ocasio-Cortez||1989-10-13||F
O000168||Pete||||Olson||1962-12-09||M
O000173||Ilhan||||Omar||1981-10-04||F
P000601||Steven||||Palazzo||1970-02-21||M
P000034||Frank||||Pallone||1951-10-30||M
P000609||Gary||||Palmer||1954-05-14||M
P000613||Jimmy||||Panetta||1969-10-01||M
P000614||Chris||||Pappas||1980-06-04||M
P000096||Bill||||Pascrell||1937-01-25||M
P000604||Donald||M.||Payne||1958-12-17||M
P000197||Nancy||||Pelosi||1940-03-26||F
P000615||Greg||||Pence||1956-11-14||M
P000593||Ed||||Perlmutter||1953-05-01||M
P000605||Scott||||Perry||1962-05-27||M
P000608||Scott||||Peters||1958-06-17||M
P000258||Collin||C.||Peterson||1944-06-29||M
P000616||Dean||||Phillips||1969-01-20||M
P000597||Chellie||||Pingree||1955-04-02||F
P000610||Stacey||||Plaskett||1966-05-13||F
P000607||Mark||||Pocan||1964-08-14||M
P000618||Katie||||Porter||1974-01-03||F
P000599||Bill||||Posey||1947-12-18||M
P000617||Ayanna||||Pressley||1974-02-03||F
P000523||David||E.||Price||1940-08-17||M
Q000023||Mike||||Quigley||1958-10-17||M
R000600||Amata||Coleman||Radewagen||1947-12-29||F
R000606||Jamie||||Raskin||1962-12-13||M
R000601||John||||Ratcliffe||1965-10-20||M
R000585||Tom||||Reed||1971-11-18||M
R000610||Guy||||Reschenthaler||1983-04-17||M
R000602||Kathleen||||Rice||1965-02-15||F
R000597||Tom||||Rice||1957-08-04||M
R000588||Cedric||||Richmond||1973-09-13||M
R000611||Denver||||Riggleman||1970-03-01||M
R000591||Martha||||Roby||1976-07-27||F
R000582||Phil||||Roe||1945-07-21||M
R000395||Harold||||Rogers||1937-12-31||M
R000575||Mike||D.||Rogers||1958-07-16||M
R000607||Francis||||Rooney||1953-12-04||M
R000612||John||||Rose||1965-02-23||M
R000613||Max||||Rose||1986-11-28||M
R000616||Harley||||Rouda||1961-12-10||M
R000603||David||||Rouzer||1972-02-16||M
R000614||Chip||||Roy||1972-08-07||M
R000486||Lucille||||Roybal-Allard||1941-06-12||F
R000599||Raul||||Ruiz||1972-08-25||M
R000576||C.A. Dutch||||Ruppersberger||1946-01-31||M
R000515||Bobby||L.||Rush||1946-11-23||M
R000609||John||||Rutherford||1952-09-02||M
R000577||Tim||||Ryan||1973-07-16||M
S001177||Gregorio||Kilili Camacho||Sablan||1955-01-19||M
S001204||Michael||||San Nicolas||1981-01-30||M
S001156||Linda||T.||Sánchez||1969-01-28||F
S001168||John||||Sarbanes||1962-05-22||M
S001176||Steve||||Scalise||1965-10-06||M
S001205||Mary||Gay||Scanlon||1959-08-30||F
S001145||Jan||||Schakowsky||1944-05-26||F
S001150||Adam||B.||Schiff||1960-06-22||M
S001190||Brad||||Schneider||1961-08-20||M
S001180||Kurt||||Schrader||1951-10-19||M
S001216||Kim||||Schrier||1968-08-23||F
S001183||David||||Schweikert||1962-03-03||M
S001157||David||||Scott||1945-06-27||M
S001189||Austin||||Scott||1969-12-10||M
S000185||Robert||C.||Scott||1947-04-30||M
S000244||F.||James||Sensenbrenner||1943-06-14||M
S000248||José||E.||Serrano||1943-10-24||M
S001185||Terri||||Sewell||1965-01-01||F
S001206||Donna||||Shalala||1941-02-14||F
S000344||Brad||||Sherman||1954-10-24||M
S001207||Mikie||||Sherrill||1972-01-19||F
S000364||John||||Shimkus||1958-02-21||M
S001148||Mike||||Simpson||1950-09-08||M
S001165||Albio||||Sires||1951-01-26||M
S001208||Elissa||||Slotkin||1976-07-10||F
S001172||Adrian||||Smith||1970-12-19||M
S000510||Adam||||Smith||1965-06-15||M
S000522||Christopher||H.||Smith||1953-03-04||M
S001195||Jason||||Smith||1980-06-16||M
S001199||Lloyd||||Smucker||1964-01-23||M
S001200||Darren||||Soto||1978-02-25||M
S001209||Abigail||||Spanberger||1979-08-07||F
S001210||Ross||||Spano||1966-07-16||M
S001175||Jackie||||Speier||1950-05-14||F
S001211||Greg||||Stanton||1970-03-08||M
S001212||Pete||||Stauber||1966-05-10||M
S001196||Elise||||Stefanik||1984-07-02||F
S001213||Bryan||||Steil||1981-03-30||M
S001214||Greg||||Steube||1978-05-19||M
S001215||Haley||||Stevens||1983-06-24||F
S001192||Chris||||Stewart||1960-07-15||M
S001187||Steve||||Stivers||1965-03-24||M
S001201||Thomas||||Suozzi||1962-08-31||M
S001193||Eric||||Swalwell||1980-11-16||M
T000472||Mark||||Takano||1960-12-10||M
T000479||Van||||Taylor||1972-08-01||M
T000467||Glenn||||Thompson||1959-07-27||M
T000193||Bennie||||Thompson||1948-01-28||M
T000460||Mike||||Thompson||1951-01-24||M
T000238||William||M.||Thornberry||1958-07-15||M
T000165||Tom||||Tiffany||1957-12-30||M
T000480||William||||Timmons||1984-04-30||M
T000470||Scott||||Tipton||1956-11-09||M
T000468||Dina||||Titus||1950-05-23||F
T000481||Rashida||||Tlaib||1976-07-24||F
T000469||Paul||||Tonko||1949-06-18||M
T000474||Norma||||Torres||1965-04-04||F
T000484||Xochitl||||Torres Small||1984-11-15||F
T000482||Lori||||Trahan||1973-10-27||F
T000483||David||||Trone||1955-09-21||M
T000463||Michael||R.||Turner||1960-01-11||M
U000040||Lauren||||Underwood||1986-10-04||F
U000031||Fred||||Upton||1953-04-23||M
V000133||Jefferson||||Van Drew||1953-02-23||M
V000130||Juan||||Vargas||1961-03-07||M
V000131||Marc||||Veasey||1971-01-03||M
V000132||Filemon||||Vela||1963-02-13||M
V000081||Nydia||M.||Velázquez||1953-03-28||F
V000108||Peter||J.||Visclosky||1949-08-13||M
W000812||Ann||||Wagner||1962-09-13||F
W000798||Tim||||Walberg||1951-04-12||M
W000791||Greg||||Walden||1957-01-10||M
W000819||Mark||||Walker||1969-05-20||M
W000813||Jackie||||Walorski||1963-08-17||F
W000823||Michael||||Waltz||1974-01-31||M
W000797||Debbie||||Wasserman Schultz||1966-09-27||F
W000187||Maxine||||Waters||1938-08-15||F
W000824||Steven||||Watkins||1976-09-18||M
W000822||Bonnie||||Watson Coleman||1945-02-06||F
W000814||Randy||||Weber||1953-07-02||M
W000806||Daniel||||Webster||1949-04-27||M
W000800||Peter||||Welch||1947-05-02||M
W000815||Brad||||Wenstrup||1958-06-17||M
W000821||Bruce||||Westerman||1967-11-18||M
W000825||Jennifer||||Wexton||1968-05-27||F
W000826||Susan||||Wild||1957-06-07||F
W000816||Roger||||Williams||1949-09-13||M
W000795||Joe||||Wilson||1947-07-31||M
W000808||Frederica||||Wilson||1942-11-05||F
W000804||Robert||J.||Wittman||1959-02-03||M
W000809||Steve||||Womack||1957-02-18||M
W000810||Rob||||Woodall||1970-02-11||M
W000827||Ron||||Wright||1953-04-08||M
Y000062||John||||Yarmuth||1947-11-04||M
Y000065||Ted||||Yoho||1955-04-13||M
Y000033||Don||||Young||1933-06-09||M
Z000017||Lee||||Zeldin||1980-01-30||M
A000360||Lamar||||Alexander||1940-07-03||M
B001230||Tammy||||Baldwin||1962-02-11||F
B001261||John||||Barrasso||1952-07-21||M
B001267||Michael||||Bennet||1964-11-28||M
B001243||Marsha||||Blackburn||1952-06-06||F
B001277||Richard||||Blumenthal||1946-02-13||M
B000575||Roy||||Blunt||1950-01-10||M
B001288||Cory||||Booker||1969-04-27||M
B001236||John||||Boozman||1950-12-10||M
B001310||Mike||||Braun||1954-03-24||M
B000944||Sherrod||||Brown||1952-11-09||M
B001135||Richard||M.||Burr||1955-11-30||M
C000127||Maria||||Cantwell||1958-10-13||F
C001047||Shelley||Moore||Capito||1953-11-26||F
C000141||Benjamin||L.||Cardin||1943-10-05||M
C000174||Thomas||R.||Carper||1947-01-23||M
C001070||Bob||||Casey||1960-04-13||M
C001075||Bill||||Cassidy||1957-09-28||M
C001035||Susan||||Collins||1952-12-07||F
C001088||Christopher||A.||Coons||1963-09-09||M
C001056||John||||Cornyn||1952-02-02||M
C001113||Catherine||||Cortez Masto||1964-03-29||F
C001095||Tom||||Cotton||1977-05-13||M
C001096||Kevin||||Cramer||1961-01-21||M
C000880||Michael||D.||Crapo||1951-05-20||M
C001098||Ted||||Cruz||1970-12-22||M
D000618||Steve||||Daines||1962-08-20||M
